customer_id,ip,pages_visited,campain
066afc964e,41.189.149.136,7.0,False
fe5cabb8f0,149.141.47.50,8.0,False
7b0ca19491,161.35.97.107,5.0,True
a238d6e5a2,180.56.63.96,6.0,False
4c3751c61c,115.112.71.94,6.0,True
df2822541e,157.3.140.51,8.0,False
18210573bf,52.70.152.142,2.0,True
2b84a97ff3,117.179.90.114,13.0,False
abf3a221fc,106.83.191.215,9.0,False
26a6af7f7e,124.204.57.139,8.0,False
afca8da26f,82.221.109.190,7.0,False
5390a6d803,131.228.69.201,8.0,False
099a9dd21d,142.31.88.96,1.0,False
d403ae25cb,189.173.125.60,6.0,False
b9b1f3aac4,111.172.57.66,5.0,False
fa8351b8c8,141.41.89.65,12.0,False
17e51585ff,88.163.204.253,7.0,False
1a99a0f14e,145.126.68.34,4.0,False
0a5fb08f73,180.132.198.19,6.0,False
cd2e0791d5,197.35.68.77,6.0,False
8b1da5b1f4,52.221.225.75,5.0,False
e4aceb6415,86.219.111.164,5.0,False
a1059a5786,165.88.154.251,5.0,True
63569df7d1,48.25.227.42,4.0,False
fcc6bd82da,53.25.117.28,5.0,True
ba83a35a20,145.159.124.64,8.0,False
fcf2c2e590,42.6.57.175,8.0,False
3d3a9e2e6e,68.10.160.15,6.0,False
a238a328e8,152.108.124.78,6.0,False
4207c13615,48.252.176.57,7.0,False
186cb1d5d3,101.245.239.252,9.0,False
0ba778ade7,84.69.70.46,5.0,False
382a446e73,157.166.180.127,5.0,False
d7a2abc84b,106.197.225.206,3.0,False
afd52be2d3,42.249.104.233,6.0,False
9525001691,166.244.76.13,6.0,False
fdc8f96a85,59.76.50.224,4.0,False
bdf62c925a,158.187.79.11,2.0,False
bbe42e97c6,68.231.65.194,3.0,True
6b8e76bd3e,100.162.228.183,7.0,False
f2a64ca70e,151.111.238.162,9.0,False
17372d7f75,166.51.133.205,4.0,False
20b78debe8,143.35.185.158,9.0,False
f37b43d779,170.32.71.215,6.0,True
9dfa2eb589,134.206.119.95,2.0,False
83d2c5ded8,81.71.75.165,5.0,False
e557518ff3,117.238.64.49,7.0,False
d0d0f06b6c,105.233.71.5,8.0,True
417b0588a0,92.116.179.27,5.0,True
c06a791abb,123.27.135.145,7.0,False
5bdd5e68aa,168.185.120.76,9.0,True
c5f1665c77,193.128.179.173,4.0,False
b4ffbfbae4,44.12.109.179,5.0,False
65da26de48,60.21.230.5,11.0,False
8eeb9ae2bf,143.254.82.136,6.0,False
e3e0d63e97,56.39.169.224,5.0,True
60c4961e21,52.85.72.140,4.0,True
2291adf2b3,131.250.189.208,1.0,True
77a35cbd5e,131.117.23.218,11.0,False
e9e6949fac,152.141.179.48,5.0,True
497d11a371,190.30.23.183,11.0,True
29d03ca8fc,123.241.189.53,4.0,False
3213d7c01b,86.92.105.67,6.0,False
793a39542b,125.68.27.249,4.0,False
b420414169,59.106.203.172,10.0,False
f933e0530e,130.196.153.227,5.0,True
836806206f,89.215.159.52,9.0,True
ff725124fe,48.49.243.211,9.0,False
85fa416973,199.50.91.153,3.0,True
f63a575ee1,72.51.106.110,9.0,False
2204bf3df9,114.12.86.81,2.0,False
9662f832e4,199.223.215.11,3.0,False
9485b1df63,169.69.134.47,1.0,False
be4c4f68ee,97.208.208.58,9.0,True
214f00935b,193.244.163.54,7.0,False
ac9476d7c9,116.229.195.41,7.0,False
24f2d1b63e,80.100.66.38,11.0,False
2c000c0a69,143.75.242.190,6.0,False
d42f4aa069,192.49.146.120,8.0,False
89e2dc1817,82.52.85.217,4.0,False
7f6f174766,142.96.70.79,3.0,False
e82f071dd5,54.46.246.62,13.0,True
86dfc8ccae,151.224.207.71,6.0,True
c647cde32a,199.133.148.137,5.0,False
e6132876c2,190.140.117.12,6.0,True
7c669a1a26,164.231.133.199,6.0,False
ce74eb2068,197.109.232.242,7.0,False
f6deedcbfa,194.124.249.31,12.0,False
e94e200214,156.117.1.175,6.0,False
b6cc052770,172.143.224.95,11.0,True
701c037f06,188.72.12.14,5.0,True
fbbe2d7c1b,93.149.220.222,3.0,False
b0b433bc04,83.120.235.61,6.0,False
5bede4bcd2,49.44.116.221,6.0,False
5da56a34c8,180.13.251.121,7.0,False
1a895d739e,70.41.110.238,6.0,True
8c56e9e30a,192.50.180.130,9.0,False
bcfe0dce92,43.214.57.144,13.0,False
575972a2b1,84.118.148.76,2.0,True
2eb437e339,144.215.237.234,9.0,False
cd433bdb76,109.216.170.139,5.0,True
cf6bdb114a,151.109.58.155,3.0,False
614fe8f3ee,53.129.191.103,5.0,False
7cb35d2515,62.189.42.68,6.0,True
8636fee424,107.125.175.227,5.0,False
1a9b6c4c55,153.61.58.201,8.0,True
4f39dfbbb3,86.85.59.75,4.0,False
ab03cfd793,140.240.220.218,3.0,False
e9ff54f818,51.233.79.64,2.0,False
e2b4416b19,134.153.122.252,5.0,False
e6e4492509,46.134.198.39,4.0,True
57fae96e85,193.234.106.99,6.0,False
d98b71c729,73.112.147.128,1.0,True
808052f575,117.71.173.55,3.0,False
808052f575,192.97.40.167,5.0,True
3e89a0f950,155.138.110.220,6.0,True
ec41c59b55,200.166.31.46,14.0,False
5bd34b0b0b,71.164.192.10,3.0,False
4066ba4e4c,49.221.161.228,7.0,False
25ab2bd8ae,167.86.110.46,6.0,True
7c3d4ac560,193.129.249.220,3.0,True
90160bd053,62.136.62.156,8.0,False
6ddfc24466,163.102.150.78,5.0,False
0fc829ddb7,69.144.254.100,7.0,False
28b815d227,146.136.113.214,9.0,False
d464f7ba73,108.118.30.78,5.0,False
1833c175fa,74.78.169.214,7.0,True
182cf7ba9e,134.188.195.62,3.0,False
427af3edf4,148.49.142.15,7.0,True
06fc43847b,142.161.229.53,5.0,True
d64208f070,112.29.210.159,6.0,False
748a0ecec6,179.40.110.236,5.0,False
8f30285e63,190.241.159.180,5.0,False
d65d2d3399,192.18.60.103,7.0,False
6af79eef1e,125.154.150.194,6.0,True
7e014ccb7f,183.208.247.209,3.0,False
8df5e47bb4,108.24.154.33,7.0,True
4cf51eb7c1,124.215.179.9,5.0,True
a9eb680e1b,173.250.243.93,5.0,True
7c143a417b,140.143.139.6,5.0,False
b9fcd91097,139.147.118.223,5.0,False
e71c4b30c6,139.4.76.62,3.0,False
673bac126d,69.200.148.117,7.0,True
dc1c45f020,51.165.197.219,7.0,False
70cc6af0ff,90.214.182.75,8.0,False
94e7414174,121.172.39.140,5.0,False
284db67eb5,111.160.123.251,3.0,False
ac91f77186,87.34.217.97,5.0,False
857c1ecef4,66.116.41.45,4.0,False
3f224866b9,183.189.39.242,6.0,False
552f96d8ef,69.88.153.242,7.0,True
7888d8021f,43.177.182.74,8.0,False
a3cc1d178c,130.61.178.101,3.0,False
ba42b2bd39,180.1.63.76,11.0,True
e105238cea,115.145.24.154,12.0,False
f1bba84954,186.80.99.36,3.0,False
f0643a4cb2,80.32.55.181,8.0,False
c50145b6d1,148.177.39.51,5.0,False
9b9dddbfe6,181.29.221.53,5.0,False
a8c5ac1e65,54.74.253.54,7.0,False
a8c5ac1e65,109.139.217.178,6.0,False
5108ba4a60,120.208.24.253,5.0,True
